ID,Date,Age,DisttoMRT,NumConvStores,Lat,Long,Price,Year,Month
20,2012.6666667,1.5,23.38284,7,24.96772,121.54102,47.7,2012,9
276,2012.6666667,1.5,23.38284,7,24.96772,121.54102,49.7,2012,9
161,2012.9166667,3.5,49.66105,8,24.95836,121.53756,57.8,2012,12
378,2013.3333333,3.9,49.66105,8,24.95836,121.53756,56.8,2013,5
58,2012.9166667,3.5,56.47425,7,24.95744,121.53711,53.5,2012,12
327,2013.5,4.1,56.47425,7,24.95744,121.53711,62.1,2013,7
193,2013.1666667,43.8,57.58945,7,24.9675,121.54069,42.7,2013,3
386,2013,18.3,82.88643,10,24.983,121.54026,46.6,2013,1
1,2012.9166667,32,84.87882,10,24.98298,121.54024,37.9,2012,12
361,2012.6666667,32.9,87.30222,10,24.983,121.54022,47.1,2012,9
12,2013.3333333,6.3,90.45606,9,24.97433,121.5431,58.1,2013,5
71,2013.5833333,6.6,90.45606,9,24.97433,121.5431,59,2013,8
97,2013.4166667,6.4,90.45606,9,24.97433,121.5431,59.5,2013,6
173,2013.5833333,6.6,90.45606,9,24.97433,121.5431,58.1,2013,8
214,2013.0833333,6.2,90.45606,9,24.97433,121.5431,58,2013,2
253,2012.8333333,5.9,90.45606,9,24.97433,121.5431,52.7,2012,11
287,2012.9166667,5.9,90.45606,9,24.97433,121.5431,56.3,2012,12
414,2013.5,6.5,90.45606,9,24.97433,121.5431,63.9,2013,7
68,2013.5,8.5,104.8101,5,24.96674,121.54067,56.8,2013,7
96,2012.9166667,8,104.8101,5,24.96674,121.54067,51.8,2012,12
111,2013.0833333,8.1,104.8101,5,24.96674,121.54067,51.6,2013,2
164,2013.5,8.5,104.8101,5,24.96674,121.54067,55.5,2013,7
314,2013.3333333,8.3,104.8101,5,24.96674,121.54067,42.8,2013,5
334,2012.75,7.8,104.8101,5,24.96674,121.54067,38.4,2012,10
350,2012.75,7.8,104.8101,5,24.96674,121.54067,47,2012,10
413,2013,8.1,104.8101,5,24.96674,121.54067,52.5,2013,1
364,2013.5,32.3,109.9455,10,24.98182,121.54086,48,2013,7
300,2013.1666667,33.2,121.7262,10,24.98178,121.54059,46.1,2013,3
66,2013.4166667,40.1,123.7429,8,24.97635,121.54329,44.3,2013,6
129,2013.0833333,41.3,124.9912,6,24.96674,121.54039,60.7,2013,2
198,2013.25,34.4,126.7286,8,24.96881,121.54089,48.2,2013,4
406,2012.6666667,23,130.9945,6,24.95663,121.53765,37.2,2012,9
382,2013.4166667,8,132.5469,9,24.98298,121.53981,47.3,2013,6
115,2012.6666667,30.6,143.8383,8,24.98155,121.54142,53.3,2012,9
83,2013.0833333,13.2,150.9347,7,24.96725,121.54252,48.1,2013,2
301,2013.0833333,2.5,156.2442,4,24.96696,121.53992,36.9,2013,2
