Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,CollegeNames,AcceptRate
Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60,Abilene Christian University,0.742168674698795
Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54,Adrian College,0.768207282913165
Yes,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,Agnes Scott College,0.836930455635492
Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,Alaska Pacific University,0.756476683937824
Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63,Albertus Magnus College,0.963172804532578
Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,Albion College,0.905739863085835
Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79,84,11.3,23,11644,80,Albright College,0.808285163776493
Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52,Alderson-Broaddus College,0.855670103092784
Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76,Allegheny College,0.716440422322775
Yes,1179,780,290,38,64,1130,638,9690,4785,600,1000,60,84,13.3,21,7940,74,Allentown Coll. of St. Francis de Sales,0.661577608142494
Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69,American International College,0.769718309859155
Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100,Amherst College,0.230590423059042
Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48,61,12.1,14,7994,59,Anderson University,0.74671052631579
Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48,Antioch University,0.927068723702665
No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,48,Arizona State University Main campus,0.804746662502928
Yes,708,334,166,46,74,530,182,8644,3922,500,800,79,88,12.6,24,14579,54,Arkansas College (Lyon College),0.471751412429379
No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48,Arkansas Tech University,0.997116493656286
Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88,Assumption College,0.796252927400468
No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69,Auburn University-Main Campus,0.899708532061473
Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58,Augsburg College,0.774924471299094
Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78,83,12.7,40,9220,71,Augustana College IL,0.882384246939862
Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66,70,10.4,30,6871,69,Augustana College,0.9526938239159
Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81,95,13,33,11361,71,Austin College,0.841772151898734
Yes,627,556,172,16,40,777,538,9925,4135,750,1350,59,67,22.4,11,6523,48,Averett College,0.886762360446571
Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11,21,6136,65,Baker University,0.802325581395349
Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68,74,17.6,20,8086,85,Baldwin-Wallace College,0.808284023668639
